Task|Total Time|Hours|Multiplier

Prepare:

Assess (3) Existing Switches for Replacement:|3.85||
-Gain access to switch configuration interface, management credentials|0.24|0.08|3
-Identify and mark physical location of switches on map|0.16|0.08|3
-Confirm proposed switch will meet replacement requirements|0.16|0.04|3
-Document link speed on critical uplinks|0.12|0.04|3
-Identify routing protocols in use|0.24|0.08|3
-Document overall PoE power consumption|0.12|0.04|3
-Determine if port labels exist and are accurate|0.12|0.04|3
-Document Spanning tree / RSTP configurations, Identify links that have been shut down, identify root bridge|0.12|0.04|3
-Identify and document VoIP and QoS configurations|0.24|0.08|3
-Identify and document VLAN (802.1q) configuration including MTUs|0.24|0.08|3
-Identify and document VLAN IP interfaces|0.24|0.08|3
-Identify untagged uplinks, to other switches|0.24|0.08|3
-Identify and document static routes|0.12|0.04|3
-Document VLAN ACLs|0.12|0.04|3
-Document VLAN port specific membership and configuration for (3) devices|0.12|0.04|3
-Identify CDP, LLDP neighbors|0.12|0.04|3
-Document current routing topology|0.12|0.04|3
-Determine if 802.1x port security is in use|0.12|0.04|3
-Identify DHCP relays and IP helpers|0.12|0.04|3
-Determine VLAN gateways for LAN segments, document addresses to reuse for new switches|0.24|0.08|3
-Determine if gateway, route , DHCP changes are required|0.25|0.04|3
-Determine number and type of SFP+ transceivers for SR fiber|0.16|0.04|3
-Perform backup of switch configurations |0.12|0.04|3

Define (2) New Switches for Replacement:|2.75||
-Determine if current wiring / switch topology meets business requirements for redundancy|0.16|0.04|2
-Document new proposed topology|0.16|0.04|2
-Determine interface and management Ips|0.08|0.04|2
-Determine naming convention|0.08|0.04|2
-Determine spanning tree / RSTP|0.08|0.04|2
-Determine monitoring and SNMP|0.16|0.08|2
-Determine VoIP and QoS configuration|0.08|0.04|2
-Determine port specific configurations|0.32|0.16|2
-Determine VLANs (802.1q), MTU membership, IP helpers and DHCP relay|0.16|0.08|2
-Routing, static routes, interfaces, ACLs|0.16|0.08|2
-Networking services, DHCP pools|0.32|0.16|2
-Determine if new switches will require stacking|0.08|0.04|2
-Determine switch controller configuration requirements|0.25|0.04|2
-Determine resolution to existing configuration issues|0.33|0.04|2
-Document end state configuration, create uplink diagram|0.08|0.04|2
-Create switch replacement runbook to minimize interruptions|0.16|0.08|2

Implement:

Stage and Configure (2) New Switches for Repalcement:|3.00||
-Review topology diagram for configuration requirements|0.08|0.04|2
-Unbox and bench test switches|0.16|0.08|2
-Register device and activate licensing|0.08|0.04|2
-Update firmware|0.08|0.04|2
-Configure monitoring RMM integrations as required|0.16|0.08|2
-Set device hostname|0.08|0.04|2
-Physically label devices|0.08|0.04|2
-Install fiber transceivers and modules if required|0.08|0.04|2
-Secure management protocols and credentials|0.16|0.08|2
-Configure RSTP|0.08|0.04|2
-Configure GVRP for VLAN deployment|0.16|0.08|2
-Configure required VLANs|0.16|0.08|2
-Configure VLAN IPS|0.16|0.08|2
-Designate voice VLAN |0.16|0.08|2
-Configure uplink ports, switch polices for mass deployment|0.16|0.08|2
-Configure switch uplinks according to requirements|0.16|0.08|2
-Implement port specific configurations and label|0.32|0.16|2
-Apply management IP address|0.08|0.04|2
-Disable IP Forwarding|0.08|0.04|2
-Restrict NTP mode 6 queries|0.08|0.04|2
-Apply SSL certificate if required|0.16|0.08|2
-Repackage switches for delivery to customer|0.16|0.08|2

Operate:

Onsite Installation of (2) New Switches:|3.00||
-Onsite service|1.00|1.00|1
-Equipment Delivery|0.04|0.04|1
-Review uplink diagram|0.16|0.08|2
-Identify and tag critical equipment uplinks|0.16|0.08|2
-Photograph existing switches|0.16|0.08|2
-Announce maintenance window|0.25|0.25|1
-Remove power from existing switch|0.04|0.08|2
-Remove uplinks from existing switch|0.04|0.08|2
-Remove existing switches and remove from rack|0.16|0.04|2
-Attach new switch mounting hardware|0.16|0.08|2
-Mount new switch in designated location|0.16|0.08|2
-Attach power cables|0.16|0.08|2
-Install ethernet cables according to uplink diagram|0.50|0.25|2

Execute Test Plan:|1.00|1.00|1
-Confirm Internet access|||
-Confirm LAN access|||
-Test access to applications and application data|||
-Confirm VLANs, membership and routing as required|||
-Confirm routing and ACL operation|||
-Confirm DHCP operation for all VLANs|||
